"depdelay";"origin";"dest"
1;"IAH";"DFW"
3;"IAH";"DFW"
5;"IAH";"DFW"
43;"IAH";"DFW"
43;"IAH";"DFW"
29;"IAH";"DFW"
19;"IAH";"DFW"
90;"IAH";"DFW"
8;"IAH";"DFW"
67;"IAH";"DFW"
41;"IAH";"DFW"
8;"IAH";"DFW"
2;"IAH";"DFW"
23;"IAH";"DFW"
4;"IAH";"DFW"
1;"IAH";"DFW"
11;"IAH";"DFW"
21;"IAH";"DFW"
55;"IAH";"DFW"
40;"IAH";"DFW"
24;"IAH";"DFW"
10;"IAH";"DFW"
15;"IAH";"DFW"
74;"IAH";"DFW"
25;"IAH";"DFW"
24;"IAH";"DFW"
31;"IAH";"DFW"
38;"IAH";"DFW"
4;"IAH";"DFW"
34;"IAH";"DFW"
1;"IAH";"DFW"
6;"IAH";"DFW"
125;"IAH";"DFW"
9;"IAH";"DFW"
82;"IAH";"DFW"
1;"IAH";"DFW"
2;"IAH";"DFW"
38;"IAH";"DFW"
2;"IAH";"DFW"
11;"IAH";"DFW"
8;"IAH";"DFW"
4;"IAH";"DFW"
4;"IAH";"DFW"
5;"IAH";"DFW"
26;"IAH";"DFW"
20;"IAH";"DFW"
6;"IAH";"DFW"
31;"IAH";"DFW"
20;"IAH";"DFW"
13;"IAH";"DFW"
6;"IAH";"DFW"
8;"IAH";"DFW"
2;"IAH";"DFW"
31;"IAH";"DFW"
6;"IAH";"DFW"
1;"IAH";"DFW"
12;"IAH";"DFW"
1;"IAH";"DFW"
17;"IAH";"DFW"
30;"IAH";"DFW"
9;"IAH";"DFW"
1;"IAH";"DFW"
12;"IAH";"DFW"
7;"IAH";"DFW"
50;"IAH";"DFW"
28;"IAH";"DFW"
20;"IAH";"DFW"
1;"IAH";"AUS"
6;"IAH";"LAX"
2;"IAH";"LAX"
28;"IAH";"DEN"
1;"IAH";"EWR"
7;"IAH";"EWR"
5;"IAH";"LAX"
77;"IAH";"ORD"
1;"IAH";"DEN"
1;"IAH";"EWR"
7;"IAH";"PHX"
25;"IAH";"DEN"
11;"IAH";"LAS"
8;"IAH";"DEN"
49;"IAH";"EWR"
1;"IAH";"PHX"
28;"IAH";"LAS"
5;"IAH";"ORD"
1;"IAH";"LAS"
1;"IAH";"ORD"
3;"IAH";"DEN"
9;"IAH";"DEN"
3;"IAH";"ORD"
10;"IAH";"LAX"
1;"IAH";"EWR"
10;"IAH";"PHX"
15;"IAH";"EWR"
25;"IAH";"ORD"
1;"IAH";"SAT"
12;"IAH";"LAX"
1;"IAH";"SAT"
13;"IAH";"AUS"
4;"IAH";"AUS"
3;"IAH";"ORD"
3;"IAH";"LAX"
4;"IAH";"PHX"
10;"IAH";"LAX"
28;"IAH";"ORD"
2;"IAH";"ATL"
3;"IAH";"SAT"
13;"IAH";"DFW"
4;"IAH";"LAX"
4;"IAH";"MSY"
3;"IAH";"LAX"
9;"IAH";"LAX"
21;"IAH";"DEN"
18;"IAH";"EWR"
6;"IAH";"EWR"
6;"IAH";"MSY"
13;"IAH";"LAX"
5;"IAH";"LAS"
17;"IAH";"EWR"
18;"IAH";"DEN"
25;"IAH";"EWR"
3;"IAH";"PHX"
39;"IAH";"MSY"
10;"IAH";"ORD"
2;"IAH";"SAT"
6;"IAH";"LAS"
1;"IAH";"DEN"
8;"IAH";"PHX"
2;"IAH";"LAS"
8;"IAH";"DEN"
12;"IAH";"LAS"
30;"IAH";"ORD"
55;"IAH";"ATL"
9;"IAH";"EWR"
11;"IAH";"PHX"
22;"IAH";"EWR"
13;"IAH";"ORD"
10;"IAH";"LAX"
31;"IAH";"DEN"
17;"IAH";"AUS"
18;"IAH";"MSY"
2;"IAH";"LAX"
16;"IAH";"LAS"
14;"IAH";"AUS"
27;"IAH";"ORD"
18;"IAH";"AUS"
40;"IAH";"LAX"
2;"IAH";"PHX"
15;"IAH";"LAX"
10;"IAH";"SAT"
69;"IAH";"DFW"
18;"IAH";"LAX"
3;"IAH";"MSY"
1;"IAH";"MSY"
7;"IAH";"MSY"
3;"IAH";"DEN"
6;"IAH";"EWR"
8;"IAH";"EWR"
5;"IAH";"EWR"
15;"IAH";"LAX"
65;"IAH";"PHX"
13;"IAH";"AUS"
2;"IAH";"LAS"
24;"IAH";"EWR"
28;"IAH";"PHX"
14;"IAH";"LAS"
21;"IAH";"ORD"
6;"IAH";"ORD"
14;"IAH";"DEN"
3;"IAH";"EWR"
5;"IAH";"PHX"
2;"IAH";"DEN"
7;"IAH";"DEN"
2;"IAH";"ORD"
1;"IAH";"MSY"
8;"IAH";"LAX"
6;"IAH";"EWR"
10;"IAH";"EWR"
12;"IAH";"LAX"
2;"IAH";"SAT"
3;"IAH";"LAX"
4;"IAH";"AUS"
3;"IAH";"ORD"
7;"IAH";"AUS"
6;"IAH";"LAX"
45;"IAH";"PHX"
2;"IAH";"ORD"
4;"IAH";"AUS"
2;"IAH";"LAX"
7;"IAH";"ORD"
21;"IAH";"SAT"
8;"IAH";"LAX"
6;"IAH";"MSY"
9;"IAH";"AUS"
9;"IAH";"LAX"
5;"IAH";"LAX"
18;"IAH";"DEN"
2;"IAH";"EWR"
109;"IAH";"EWR"
4;"IAH";"EWR"
26;"IAH";"LAX"
7;"IAH";"EWR"
32;"IAH";"PHX"
3;"IAH";"DEN"
12;"IAH";"EWR"
23;"IAH";"PHX"
13;"IAH";"SAT"
12;"IAH";"LAS"
1;"IAH";"ORD"
1;"IAH";"LAS"
2;"IAH";"DEN"
8;"IAH";"EWR"
3;"IAH";"PHX"
3;"IAH";"LAS"
30;"IAH";"DEN"
5;"IAH";"DEN"
32;"IAH";"AUS"
42;"IAH";"ORD"
17;"IAH";"ATL"
4;"IAH";"MSY"
89;"IAH";"LAX"
1;"IAH";"DEN"
5;"IAH";"EWR"
5;"IAH";"EWR"
3;"IAH";"LAX"
1;"IAH";"LAS"
1;"IAH";"DEN"
1;"IAH";"SAT"
9;"IAH";"LAX"
40;"IAH";"AUS"
7;"IAH";"ORD"
2;"IAH";"AUS"
7;"IAH";"AUS"
11;"IAH";"LAX"
109;"IAH";"LAX"
7;"IAH";"LAX"
29;"IAH";"MSY"
105;"IAH";"SAT"
12;"IAH";"AUS"
4;"IAH";"LAX"
1;"IAH";"LAX"
162;"IAH";"DEN"
26;"IAH";"EWR"
33;"IAH";"EWR"
22;"IAH";"EWR"
1;"IAH";"LAS"
43;"IAH";"EWR"
5;"IAH";"PHX"
7;"IAH";"DEN"
46;"IAH";"DEN"
54;"IAH";"EWR"
68;"IAH";"MSY"
14;"IAH";"LAS"
18;"IAH";"ORD"
10;"IAH";"ORD"
2;"IAH";"LAS"
127;"IAH";"EWR"
125;"IAH";"PHX"
1;"IAH";"ORD"
7;"IAH";"LAS"
11;"IAH";"DEN"
4;"IAH";"DEN"
48;"IAH";"LAS"
15;"IAH";"ORD"
1;"IAH";"ATL"
22;"IAH";"LAX"
137;"IAH";"EWR"
9;"IAH";"PHX"
72;"IAH";"EWR"
2;"IAH";"ORD"
20;"IAH";"SAT"
39;"IAH";"LAX"
21;"IAH";"DEN"
148;"IAH";"AUS"
6;"IAH";"MSY"
7;"IAH";"SAT"
7;"IAH";"LAX"
2;"IAH";"LAS"
2;"IAH";"AUS"
6;"IAH";"ORD"
4;"IAH";"AUS"
25;"IAH";"LAX"
5;"IAH";"PHX"
1;"IAH";"MSY"
27;"IAH";"ORD"
3;"IAH";"LAX"
8;"IAH";"ORD"
6;"IAH";"ATL"
12;"IAH";"SAT"
12;"IAH";"DFW"
14;"IAH";"LAX"
12;"IAH";"MSY"
2;"IAH";"DEN"
66;"IAH";"EWR"
160;"IAH";"EWR"
2;"IAH";"MSY"
2;"IAH";"LAX"
8;"IAH";"ORD"
11;"IAH";"DEN"
2;"IAH";"PHX"
12;"IAH";"DEN"
26;"IAH";"EWR"
21;"IAH";"PHX"
1;"IAH";"SAT"
1;"IAH";"SAT"
1;"IAH";"LAS"
171;"IAH";"EWR"
11;"IAH";"DEN"
3;"IAH";"DEN"
1;"IAH";"LAS"
7;"IAH";"ORD"
10;"IAH";"LAX"
4;"IAH";"DEN"
31;"IAH";"EWR"
16;"IAH";"PHX"
20;"IAH";"ORD"
5;"IAH";"SAT"
5;"IAH";"AUS"
94;"IAH";"SAT"
1;"IAH";"LAS"
1;"IAH";"AUS"
2;"IAH";"AUS"
4;"IAH";"LAX"
1;"IAH";"ORD"
6;"IAH";"LAX"
91;"IAH";"AUS"
115;"IAH";"DEN"
4;"IAH";"EWR"
3;"IAH";"LAX"
2;"IAH";"ORD"
2;"IAH";"EWR"
1;"IAH";"DEN"
9;"IAH";"EWR"
24;"IAH";"PHX"
4;"IAH";"EWR"
2;"IAH";"ORD"
3;"IAH";"ORD"
1;"IAH";"ORD"
1;"IAH";"LAS"
15;"IAH";"DEN"
1;"IAH";"DEN"
3;"IAH";"LAX"
7;"IAH";"EWR"
1;"IAH";"PHX"
4;"IAH";"EWR"
2;"IAH";"SAT"
9;"IAH";"LAX"
14;"IAH";"DEN"
1;"IAH";"AUS"
1;"IAH";"AUS"
12;"IAH";"ORD"
25;"IAH";"AUS"
1;"IAH";"ATL"
3;"IAH";"SAT"
38;"IAH";"LAX"
1;"IAH";"MSY"
14;"IAH";"MSY"
1;"IAH";"AUS"
15;"IAH";"LAX"
9;"IAH";"DEN"
1;"IAH";"EWR"
40;"IAH";"EWR"
2;"IAH";"EWR"
23;"IAH";"LAX"
2;"IAH";"LAS"
6;"IAH";"PHX"
17;"IAH";"AUS"
8;"IAH";"DEN"
2;"IAH";"SAT"
1;"IAH";"LAS"
15;"IAH";"DEN"
7;"IAH";"EWR"
21;"IAH";"PHX"
10;"IAH";"ORD"
28;"IAH";"ORD"
9;"IAH";"SAT"
8;"IAH";"PHX"
7;"IAH";"ORD"
26;"IAH";"LAS"
3;"IAH";"DEN"
3;"IAH";"DEN"
44;"IAH";"LAS"
2;"IAH";"MSY"
8;"IAH";"AUS"
2;"IAH";"MSY"
22;"IAH";"LAX"
2;"IAH";"DEN"
3;"IAH";"EWR"
11;"IAH";"PHX"
17;"IAH";"EWR"
5;"IAH";"ORD"
3;"IAH";"SAT"
10;"IAH";"LAX"
3;"IAH";"DEN"
34;"IAH";"AUS"
4;"IAH";"MSY"
2;"IAH";"SAT"
2;"IAH";"LAX"
6;"IAH";"LAS"
7;"IAH";"AUS"
25;"IAH";"ORD"
30;"IAH";"AUS"
4;"IAH";"AUS"
4;"IAH";"LAX"
2;"IAH";"PHX"
32;"IAH";"ORD"
3;"IAH";"LAX"
9;"IAH";"ORD"
2;"IAH";"ATL"
11;"IAH";"SAT"
2;"IAH";"DFW"
23;"IAH";"LAX"
60;"IAH";"MSY"
5;"IAH";"LAX"
8;"IAH";"DEN"
1;"IAH";"EWR"
19;"IAH";"EWR"
1;"IAH";"EWR"
1;"IAH";"EWR"
16;"IAH";"LAX"
3;"IAH";"LAS"
1;"IAH";"EWR"
1;"IAH";"DEN"
14;"IAH";"LAS"
14;"IAH";"DEN"
3;"IAH";"EWR"
3;"IAH";"LAS"
15;"IAH";"EWR"
2;"IAH";"ORD"
2;"IAH";"LAS"
2;"IAH";"DEN"
1;"IAH";"EWR"
3;"IAH";"PHX"
18;"IAH";"LAS"
1;"IAH";"MSY"
1;"IAH";"LAS"
8;"IAH";"ORD"
11;"IAH";"MSY"
2;"IAH";"LAX"
7;"IAH";"PHX"
14;"IAH";"EWR"
2;"IAH";"ORD"
8;"IAH";"SAT"
1;"IAH";"LAS"
7;"IAH";"DEN"
4;"IAH";"AUS"
24;"IAH";"SAT"
2;"IAH";"LAS"
9;"IAH";"LAX"
1;"IAH";"PHX"
4;"IAH";"ORD"
1;"IAH";"AUS"
24;"IAH";"SAT"
6;"IAH";"LAX"
1;"IAH";"AUS"
18;"IAH";"DEN"
7;"IAH";"EWR"
25;"IAH";"EWR"
2;"IAH";"EWR"
3;"IAH";"EWR"
42;"IAH";"LAX"
3;"IAH";"ORD"
42;"IAH";"LAS"
1;"IAH";"EWR"
23;"IAH";"PHX"
18;"IAH";"AUS"
2;"IAH";"DEN"
28;"IAH";"EWR"
15;"IAH";"PHX"
4;"IAH";"MSY"
12;"IAH";"LAS"
20;"IAH";"ORD"
8;"IAH";"ORD"
3;"IAH";"SAT"
1;"IAH";"LAS"
8;"IAH";"DEN"
3;"IAH";"PHX"
7;"IAH";"ORD"
2;"IAH";"DEN"
11;"IAH";"DEN"
6;"IAH";"LAS"
19;"IAH";"DEN"
10;"IAH";"LAX"
18;"IAH";"LAX"
1;"IAH";"AUS"
44;"IAH";"LAX"
2;"IAH";"SAT"
9;"IAH";"LAX"
4;"IAH";"MSY"
8;"IAH";"MSY"
15;"IAH";"DEN"
61;"IAH";"EWR"
45;"IAH";"EWR"
6;"IAH";"EWR"
1;"IAH";"LAX"
4;"IAH";"LAS"
4;"IAH";"EWR"
2;"IAH";"PHX"
6;"IAH";"DEN"
2;"IAH";"SAT"
4;"IAH";"DEN"
2;"IAH";"EWR"
9;"IAH";"PHX"
3;"IAH";"SAT"
8;"IAH";"LAS"
