"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2014",10315862.1906043,9011153.91091749,11855975.0265491,8401401.40148269,12783602.2823366
"Feb 2014",8955126.25399601,7809718.35648904,10309957.6278804,7275219.42484797,11127307.2795439
"Mar 2014",6980122.87823479,6121890.58479144,7988141.20814255,5719311.66457961,8592879.69758835
"Apr 2014",5789621.59356284,5099725.19858545,6595587.57950455,4774823.05801252,7077062.0703423
"May 2014",5683875.67949061,5005472.39410577,6476632.94896364,4686047.8307535,6950319.64519858
"Jun 2014",8393601.13104953,7310704.38506947,9676525.1060888,6805966.58159484,10451467.2810253
"Jul 2014",9508177.59121553,8247807.59895742,11008962.6052108,7662544.64760945,11919161.5673116
"Aug 2014",9744828.75229742,8444966.54557986,11294496.6812197,7841897.88864183,12235237.0100276
"Sep 2014",8340553.83619329,7258562.67000042,9623712.18943273,6754625.73068727,10399422.3034967
"Oct 2014",5945300.67452386,5222018.10094931,6793255.70410029,4882279.98804176,7301228.31389898
"Nov 2014",6074020.33823437,5331104.04684927,6945801.11310488,4982382.56081179,7468429.65253463
"Dec 2014",7959389.5362156,6933351.26508601,9174769.13973651,6455062.00900862,9908823.84175584
